profile_id,strategy,recommended_card_1,recommended_card_2,recommended_card_3,raw_response,latency_seconds
P0001,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.331
P0001,structured,CC012,CC016,CC017,"{
  ""rank_1"": {""card_id"": ""CC012"", ""card_name"": ""NatWest Reward Credit Card"", ""reason"": ""This card offers a high cashback rate on groceries, fuel, dining, travel, and online shopping, making it suitable for your spending habits."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""},
  ""rank_2"": {""card_id"": ""CC016"", ""card_name"": ""Santander All in One Credit Card"", ""reason"": ""This card offers a good cashback rate on groceries, fuel, dining, travel, and online shopping, making it suitable for your spending habits."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""},
  ""rank_3"": {""card_id"": ""CC017"", ""card_name"": ""HSBC Cashback Credit Card"", ""reason"": ""This card offers a good cashback rate on groceries and dining, making it suitable for your spending habits."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""}
}",0.387
P0001,few_shot,CC011,CC003,CC017,"CC011
CC003
CC017",0.168
P0002,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.152
P0002,structured,CC012,CC016,CC017,"{
  ""rank_1"": {""card_id"": ""CC012"", ""card_name"": ""NatWest Reward Credit Card"", ""reason"": ""This card offers a high cashback rate on groceries, fuel, and travel, which aligns with your spending habits."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""},
  ""rank_2"": {""card_id"": ""CC016"", ""card_name"": ""Santander All in One Credit Card"", ""reason"": ""This card offers a high cashback rate on groceries, fuel, and online shopping, making it a good fit for your spending style."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""},
  ""rank_3"": {""card_id"": ""CC017"", ""card_name"": ""HSBC Cashback Credit Card"", ""reason"": ""This card offers a moderate cashback rate on groceries and dining, which aligns with your spending habits."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""}
}",0.455
P0002,few_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.172
P0003,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.14
P0003,structured,CC012,CC016,CC017,"{
  ""rank_1"": {""card_id"": ""CC012"", ""card_name"": ""NatWest Reward Credit Card"", ""reason"": ""This card offers a high cashback rate on groceries, fuel, and online shopping, which matches the user's spending habits."", ""warnings"": ""The annual fee is not specified, but it may be higher than the user's preferred low annual fee.""},
  ""rank_2"": {""card_id"": ""CC016"", ""card_name"": ""Santander All in One Credit Card"", ""reason"": ""This card offers a high cashback rate on groceries, fuel, and online shopping, which matches the user's spending habits."", ""warnings"": ""The annual fee is 0, which matches the user's preferred low annual fee.""},
  ""rank_3"": {""card_id"": ""CC017"", ""card_name"": ""HSBC Cashback Credit Card"", ""reason"": ""This card offers a moderate cashback rate on groceries and dining, which matches the user's spending habits."", ""warnings"": ""The annual fee is 0, which matches the user's preferred low annual fee.""}
}",0.497
P0003,few_shot,CC011,CC017,CC015,"CC011
CC017
CC015",0.239
P0004,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.36
P0004,structured,CC012,CC016,CC017,"{
  ""rank_1"": {""card_id"": ""CC012"", ""card_name"": ""NatWest Reward Credit Card"", ""reason"": ""This card offers a high cashback rate on groceries and travel, which aligns with the user's spending habits."", ""warnings"": ""Annual fee is not specified, but the user prefers low annual fees.""},
  ""rank_2"": {""card_id"": ""CC016"", ""card_name"": ""Santander All in One Credit Card"", ""reason"": ""This card offers a high cashback rate on groceries, fuel, and online shopping, which aligns with the user's spending habits."", ""warnings"": ""Annual fee is not specified, but the user prefers low annual fees.""},
  ""rank_3"": {""card_id"": ""CC017"", ""card_name"": ""HSBC Cashback Credit Card"", ""reason"": ""This card offers a moderate cashback rate on groceries and dining, which aligns with the user's spending habits."", ""warnings"": ""Annual fee is not specified, but the user prefers low annual fees.""}
}",0.461
P0004,few_shot,CC011,CC017,CC015,"CC011
CC017
CC015",0.197
P0005,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",14.235
P0005,structured,CC012,CC016,CC017,"{
  ""rank_1"": {""card_id"": ""CC012"", ""card_name"": ""NatWest Reward Credit Card"", ""reason"": ""This card offers a good balance of cashback rates across various categories, including groceries, dining, and online shopping, making it suitable for your spending habits."", ""warnings"": ""The annual fee is not specified, but it's generally considered a good option for students.""},
  ""rank_2"": {""card_id"": ""CC016"", ""card_name"": ""Santander All in One Credit Card"", ""reason"": ""This card offers a decent cashback rate on groceries and online shopping, which aligns with your spending habits, and has no annual fee."", ""warnings"": ""The cashback rates are not as high as some other cards, but it's a good option for students with a low income.""},
  ""rank_3"": {""card_id"": ""CC017"", ""card_name"": ""HSBC Cashback Credit Card"", ""reason"": ""This card offers a decent cashback rate on groceries and dining, which aligns with your spending habits, and has no annual fee."", ""warnings"": ""The cashback rates are not as high as some other cards, but it's a good option for students with a low income.""}
}",0.773
P0005,few_shot,CC011,CC017,CC015,"CC011
CC017
CC015",0.177
P0006,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.114
P0006,structured,CC012,CC016,CC017,"{
  ""rank_1"": {""card_id"": ""CC012"", ""card_name"": ""NatWest Reward Credit Card"", ""reason"": ""This card offers a high cashback rate on groceries, fuel, and travel, which aligns with your spending habits."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""},
  ""rank_2"": {""card_id"": ""CC016"", ""card_name"": ""Santander All in One Credit Card"", ""reason"": ""This card offers a good cashback rate on groceries, fuel, and online shopping, which matches your spending style."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""},
  ""rank_3"": {""card_id"": ""CC017"", ""card_name"": ""HSBC Cashback Credit Card"", ""reason"": ""This card offers a decent cashback rate on groceries and dining, which aligns with your spending habits."", ""warnings"": ""Annual fee is not specified, but it's likely to be low.""}
}",2.413
P0006,few_shot,CC011,CC017,CC015,"CC011
CC017
CC015",0.257
P0007,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.164
P0007,structured,CC012,CC016,CC017,"{
  ""rank_1"": {""card_id"": ""CC012"", ""card_name"": ""NatWest Reward Credit Card"", ""reason"": ""This card offers a good balance of cashback rates across various categories, including grocery, dining, and online shopping, which aligns with the user's spending habits."", ""warnings"": ""The card has a relatively high cashback rate for fuel, but the user does not spend much on fuel.""},
  ""rank_2"": {""card_id"": ""CC016"", ""card_name"": ""Santander All in One Credit Card"", ""reason"": ""This card offers a comprehensive cashback rate across various categories, including grocery, fuel, dining, travel, and online shopping, which aligns with the user's spending habits."", ""warnings"": ""The card has a relatively low cashback rate for base spend.""},
  ""rank_3"": {""card_id"": ""CC017"", ""card_name"": ""HSBC Cashback Credit Card"", ""reason"": ""This card offers a decent cashback rate for grocery and dining, which aligns with the user's spending habits."", ""warnings"": ""The card has a relatively low cashback rate for base spend and online shopping.""}
}",0.546
P0007,few_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.478
P0008,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.201
P0008,structured,CC012,CC016,CC017,"{
  ""rank_1"": {""card_id"": ""CC012"", ""card_name"": ""NatWest Reward Credit Card"", ""reason"": ""This card offers a good balance of cashback rates across various categories, including groceries, dining, and online shopping, making it suitable for your spending habits."", ""warnings"": ""The annual fee is not specified, but it's generally considered a low-fee card.""},
  ""rank_2"": {""card_id"": ""CC016"", ""card_name"": ""Santander All in One Credit Card"", ""reason"": ""This card offers a wide range of cashback rates across various categories, including groceries, fuel, dining, travel, and online shopping, making it suitable for your diverse spending habits."", ""warnings"": ""The annual fee is not specified, but it's generally considered a low-fee card.""},
  ""rank_3"": {""card_id"": ""CC017"", ""card_name"": ""HSBC Cashback Credit Card"", ""reason"": ""This card offers a decent cashback rate on groceries and dining, making it suitable for your spending habits."", ""warnings"": ""The annual fee is not specified, but it's generally considered a low-fee card.""}
}",0.447
P0008,few_shot,CC001,CC011,CC017,"CC001
CC011
CC017",0.18
P0009,zero_shot,CC001,CC003,CC017,"CC001
CC003
CC017",0.152
